Day,Bar,Hour,Minute,Second
8,1,0,3,0
8,1,0,8,53
8,1,0,9,43
8,1,0,10,33
8,1,0,11,23
8,1,0,12,13
8,1,0,13,3
8,1,0,47,51
8,1,0,48,41
8,1,0,49,31
8,1,0,50,21
8,1,0,51,11
8,1,0,52,1
8,1,1,0,33
8,1,1,1,23
8,1,1,2,13
8,1,1,3,3
8,1,1,37,51
8,1,1,38,41
8,1,1,39,31
8,1,1,40,21
8,1,1,41,11
8,1,1,42,1
8,1,2,27,51
8,1,2,28,41
8,1,2,29,31
8,1,2,30,21
8,1,2,31,11
8,1,2,32,1
8,1,3,17,51
8,1,3,18,41
8,1,3,19,31
8,1,3,20,21
8,1,3,21,11
8,1,3,22,1
8,1,3,55,59
8,1,3,56,49
8,1,3,57,39
8,1,3,58,29
8,1,3,59,19
8,1,4,7,51
8,1,4,8,41
8,1,4,9,31
8,1,4,10,21
8,1,4,11,11
8,1,4,12,1
8,1,4,45,59
8,1,4,46,49
8,1,4,47,39
8,1,4,48,29
8,1,4,49,19
8,1,4,50,9
8,1,5,0,21
8,1,5,1,11
8,1,5,2,1
8,1,5,35,59
8,1,5,36,49
8,1,5,37,39
8,1,5,38,29
8,1,5,39,19
8,1,5,40,9
8,1,5,56,53
8,1,5,57,43
8,1,5,58,33
8,1,5,59,23
8,1,6,25,59
8,1,6,26,49
8,1,6,27,39
8,1,6,28,29
8,1,6,29,19
8,1,6,30,9
8,1,6,46,53
8,1,6,47,43
8,1,6,48,33
8,1,6,49,23
8,1,6,50,13
8,1,6,51,3
8,1,6,56,53
8,1,6,57,43
8,1,6,58,33
8,1,6,59,23
8,1,7,15,59
8,1,7,16,49
8,1,7,17,39
8,1,7,18,29
8,1,7,19,19
8,1,7,20,9
8,1,7,36,53
8,1,7,37,43
8,1,7,38,33
8,1,7,39,23
8,1,7,40,13
8,1,7,41,3
8,1,7,46,53
8,1,7,47,43
8,1,7,48,33
8,1,7,49,23
8,1,7,50,13
8,1,7,51,3
8,1,8,5,59
8,1,8,6,49
8,1,8,7,39
8,1,8,8,29
8,1,8,9,19
8,1,8,10,9
8,1,8,26,53
8,1,8,27,43
8,1,8,28,33
8,1,8,29,23
8,1,8,30,13
8,1,8,31,3
8,1,8,36,53
8,1,8,37,43
8,1,8,38,33
8,1,8,39,23
8,1,8,40,13
8,1,8,41,3
8,1,9,0,9
8,1,9,16,53
8,1,9,17,43
8,1,9,18,33
8,1,9,19,23
8,1,9,20,13
8,1,9,21,3
8,1,9,26,53
8,1,9,27,43
8,1,9,28,33
8,1,9,29,23
8,1,9,30,13
8,1,9,31,3
8,1,9,55,51
8,1,9,56,41
8,1,9,57,31
8,1,9,58,21
8,1,9,59,11
8,1,10,6,53
8,1,10,7,43
8,1,10,8,33
8,1,10,9,23
8,1,10,10,13
8,1,10,11,3
8,1,10,16,53
8,1,10,17,43
8,1,10,18,33
8,1,10,19,23
8,1,10,20,13
8,1,10,21,3
8,1,10,45,51
8,1,10,46,41
8,1,10,47,31
8,1,10,48,21
8,1,10,49,11
8,1,10,50,1
8,1,10,55,51
8,1,10,56,41
8,1,10,57,31
8,1,10,58,21
8,1,10,59,11
8,1,11,0,13
8,1,11,1,3
8,1,11,6,53
8,1,11,7,43
8,1,11,8,33
8,1,11,9,23
8,1,11,10,13
8,1,11,11,3
8,1,11,35,51
8,1,11,36,41
8,1,11,37,31
8,1,11,38,21
8,1,11,39,11
8,1,11,40,1
8,1,11,45,51
8,1,11,46,41
8,1,11,47,31
8,1,11,48,21
8,1,11,49,11
8,1,11,50,1
8,1,12,0,13
8,1,12,1,3
8,1,12,25,51
8,1,12,26,41
8,1,12,27,31
8,1,12,28,21
8,1,12,29,11
8,1,12,30,1
8,1,12,35,51
8,1,12,36,41
8,1,12,37,31
8,1,12,38,21
8,1,12,39,11
8,1,12,40,1
8,1,13,15,51
8,1,13,16,41
8,1,13,17,31
8,1,13,18,21
8,1,13,19,11
8,1,13,20,1
8,1,13,25,51
8,1,13,26,41
8,1,13,27,31
8,1,13,28,21
8,1,13,29,11
8,1,13,30,1
8,1,13,53,59
8,1,13,54,49
8,1,13,55,39
8,1,13,56,29
8,1,13,57,19
8,1,13,58,9
8,1,13,59,0
8,1,14,5,51
8,1,14,6,41
8,1,14,7,31
8,1,14,8,21
8,1,14,9,11
8,1,14,10,1
8,1,14,15,51
8,1,14,16,41
8,1,14,17,31
8,1,14,18,21
8,1,14,19,11
8,1,14,20,1
8,1,14,43,59
8,1,14,44,49
8,1,14,45,39
8,1,14,46,29
8,1,14,47,19
8,1,14,48,9
8,1,14,49,0
8,1,14,53,59
8,1,14,54,49
8,1,14,55,39
8,1,14,56,29
8,1,14,57,19
8,1,14,58,9
8,1,15,0,1
8,1,15,5,51
8,1,15,6,41
8,1,15,7,31
8,1,15,8,21
8,1,15,9,11
8,1,15,10,1
8,1,15,33,59
8,1,15,34,49
8,1,15,35,39
8,1,15,36,29
8,1,15,37,19
8,1,15,38,9
8,1,15,39,0
8,1,15,43,59
